Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Solana,SOL,11/04/2020,Sábado,1.04907270025,0.765020356128,0.95105395758,0.776818582977,43862443.7931816,0.0
Solana,SOL,12/04/2020,Domingo,0.956669837035,0.762426200135,0.785447714185,0.882506928259,38736897.0186422,0.0
Solana,SOL,13/04/2020,Segunda-feira,0.891602782787,0.773976306644,0.890759612431,0.777831565037,18211285.4666889,0.0
Solana,SOL,14/04/2020,Terça-feira,0.796472356866,0.628169430018,0.777831565037,0.661924824696,16747614.1218552,0.0
Solana,SOL,15/04/2020,Quarta-feira,0.704963548631,0.62153145556,0.669289149224,0.646650901989,13075275.285934,0.0
Solana,SOL,16/04/2020,Quinta-feira,0.774192228467,0.625107412535,0.630878816101,0.690815875441,21346031.3456645,0.0
Solana,SOL,17/04/2020,Sexta-feira,0.719613782417,0.660727970818,0.689312454191,0.660727970818,9870810.00168021,0.0
Solana,SOL,18/04/2020,Sábado,0.717618209437,0.659427087306,0.660727970818,0.681096334559,9782111.900077,0.0
Solana,SOL,19/04/2020,Domingo,0.68464132719,0.598486993213,0.681515884453,0.606969175324,9289670.37817109,0.0
Solana,SOL,20/04/2020,Segunda-feira,0.639253715698,0.52057781675,0.612947581488,0.538812129578,8342616.4207554,0.0
Solana,SOL,21/04/2020,Terça-feira,0.604586042345,0.508548999936,0.541386709626,0.587659155744,9711507.44842345,0.0
Solana,SOL,22/04/2020,Quarta-feira,0.706963640285,0.569620792668,0.581166089846,0.691600915883,18828399.5228331,0.0
Solana,SOL,23/04/2020,Quinta-feira,0.698077000278,0.600321839105,0.685347169644,0.627457179792,13485271.0516431,0.0
Solana,SOL,24/04/2020,Sexta-feira,0.671020012488,0.613941111404,0.624021171859,0.634242220589,9064190.2668448,0.0
Solana,SOL,25/04/2020,Sábado,0.670948281702,0.621547407359,0.630528058118,0.643329301446,7311904.72226874,0.0
Solana,SOL,26/04/2020,Domingo,0.691499391682,0.631170580099,0.653215035281,0.635506343577,8320760.35681435,0.0
Solana,SOL,27/04/2020,Segunda-feira,0.660282639688,0.561027523835,0.635713806985,0.572371895062,7406934.10853669,0.0
Solana,SOL,28/04/2020,Terça-feira,0.692147510505,0.568483717999,0.578252730451,0.661292515173,7470201.22321632,0.0
Solana,SOL,29/04/2020,Quarta-feira,0.777771293054,0.655273716711,0.662285637918,0.74584040982,8801144.47969972,0.0
Solana,SOL,30/04/2020,Quinta-feira,0.800816479295,0.68788052508,0.747194537125,0.691045421015,5016891.64140768,0.0
Solana,SOL,01/05/2020,Sexta-feira,0.737071288473,0.685902703146,0.691045421015,0.728793969447,4164272.07175221,0.0
Solana,SOL,02/05/2020,Sábado,0.748980798928,0.707903537269,0.727267603533,0.715876411879,3441355.73678965,0.0
Solana,SOL,03/05/2020,Domingo,0.729800516197,0.656615622562,0.714795753656,0.679534571126,3328343.6073183,0.0
Solana,SOL,04/05/2020,Segunda-feira,0.70581247046,0.618433606439,0.679625171586,0.667490770432,3443697.81828111,0.0
Solana,SOL,05/05/2020,Terça-feira,0.686214207407,0.626498811322,0.673440456927,0.641837362998,2847469.34149937,0.0
Solana,SOL,06/05/2020,Quarta-feira,0.673890820131,0.622583598868,0.64245418812,0.622583598868,2677562.97435084,0.0
Solana,SOL,07/05/2020,Quinta-feira,0.632267767367,0.573375617006,0.622583598868,0.612977957268,3355830.23580211,0.0
Solana,SOL,08/05/2020,Sexta-feira,0.63661836817,0.589851786122,0.612977957268,0.604922121097,2488194.57299153,0.0
Solana,SOL,09/05/2020,Sábado,0.625429237134,0.588447830009,0.604041500539,0.604527391264,2128502.76121917,0.0
Solana,SOL,10/05/2020,Domingo,0.612303182662,0.513080872906,0.604460730044,0.53703391162,2327580.79632425,0.0
Solana,SOL,11/05/2020,Segunda-feira,0.571860148065,0.505193636791,0.536255006521,0.515272785293,2098480.82876321,0.0
Solana,SOL,12/05/2020,Terça-feira,0.55975856915,0.505251193842,0.513390527877,0.538575650335,2198624.8775544,0.0
Solana,SOL,13/05/2020,Quarta-feira,0.5648742321,0.518038300363,0.538371569664,0.550531657365,2326445.52977927,0.0
Solana,SOL,14/05/2020,Quinta-feira,0.580945682126,0.550109683982,0.550531657365,0.569117610116,2047896.7931676,0.0
